variable,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,slope,r_squared
classifier_kwargs,0.0,0.0,0.0,0.0060120240480961,0.0020833333333333,0.0019120458891013,0.0,0.0,0.0,0.0,0.0,0.0019417475728155,0.0038387715930902,0.0019685039370078,0.0039525691699604,0.0114285714285714,0.0038167938931297,0.0093808630393996,0.0056603773584905,0.0037807183364839,0.0096153846153846,0.0003744982770068044,0.4311175793558507
column_indices,0.0,0.0020491803278688,0.0,0.0040080160320641,0.0041666666666666,0.0019120458891013,0.0038461538461538,0.0059055118110236,0.0041152263374485,0.0140562248995983,0.008080808080808,0.0077669902912621,0.0057581573896353,0.0059055118110236,0.0079051383399209,0.0076190476190476,0.0057251908396946,0.0075046904315197,0.0113207547169811,0.0113421550094517,0.0038461538461538,0.00037436336141146424,0.4120846249480474
z_fs,0.0021645021645021,0.0061475409836065,0.0,0.002004008016032,0.0041666666666666,0.0019120458891013,0.0019230769230769,0.0,0.0020576131687242,0.002008032128514,0.002020202020202,0.003883495145631,0.0038387715930902,0.0059055118110236,0.0019762845849802,0.0114285714285714,0.0095419847328244,0.0093808630393996,0.0150943396226415,0.0056710775047258,0.0038461538461538,0.0003741853632365275,0.35104828098794394
numpy_points,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059055118110236,0.0020576131687242,0.0080321285140562,0.002020202020202,0.0077669902912621,0.0038387715930902,0.0039370078740157,0.0079051383399209,0.0076190476190476,0.0038167938931297,0.0056285178236397,0.0113207547169811,0.0075614366729678,0.0,0.00037406079764500116,0.40649657917453563
merged_model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019685039370078,0.0,0.002008032128514,0.002020202020202,0.0,0.0,0.0,0.0019762845849802,0.0057142857142857,0.0019083969465648,0.0018761726078799,0.0018867924528301,0.0094517958412098,0.0134615384615384,0.0003739253243055493,0.43992479576692795
prompt_batch_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019685039370078,0.0,0.0057142857142857,0.0019083969465648,0.0037523452157598,0.0075471698113207,0.0151228733459357,0.0019230769230769,0.0003739061381907989,0.39134723007698163
return_grouped_idx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020576131687242,0.0080321285140562,0.0,0.0077669902912621,0.0019193857965451,0.0,0.0039525691699604,0.0057142857142857,0.0019083969465648,0.0075046904315197,0.0113207547169811,0.0056710775047258,0.0038461538461538,0.00037388389704423835,0.43679497604356554
z_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038167938931297,0.0112570356472795,0.0075471698113207,0.0075614366729678,0.0057692307692307,0.00037379559627184094,0.4736185973710354
norm_,0.0,0.0,0.0,0.002004008016032,0.0,0.0,0.0,0.0,0.0020576131687242,0.002008032128514,0.0,0.003883495145631,0.0019193857965451,0.0019685039370078,0.0,0.0057142857142857,0.0114503816793893,0.0037523452157598,0.0037735849056603,0.0113421550094517,0.0038461538461538,0.000373696379118866,0.461453948692091
custom_layers,0.0,0.0,0.0,0.0,0.0020833333333333,0.0,0.0,0.0,0.0,0.0,0.004040404040404,0.003883495145631,0.0038387715930902,0.0059055118110236,0.0019762845849802,0.0114285714285714,0.0019083969465648,0.0093808630393996,0.0094339622641509,0.0037807183364839,0.0019230769230769,0.00037359860334438633,0.43083489440075756
