name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
nd,20,2,0,0,14,1,34,3,0.0,0.7,0.0,0.5
c0,10,1,0,0,24,1,34,2,0.0,2.4,0.0,1.0
potter,17,1,0,0,17,1,34,2,0.0,1.0,0.0,1.0
rows,16,3,8,2,10,2,34,7,0.5,0.625,0.6666666666666666,0.6666666666666666
horizontal_sum,17,1,0,0,17,1,34,2,0.0,1.0,0.0,1.0
den,14,3,4,1,16,4,34,8,0.2857142857142857,1.1428571428571428,0.3333333333333333,1.3333333333333333
out,31,3,0,0,3,1,34,4,0.0,0.0967741935483871,0.0,0.3333333333333333
vertical_sum,17,1,0,0,17,1,34,2,0.0,1.0,0.0,1.0
folders,5,1,24,2,5,1,34,4,4.8,1.0,2.0,1.0
rail,0,0,9,1,25,1,34,2,,,,
minn,24,3,0,0,10,1,34,4,0.0,0.4166666666666667,0.0,0.3333333333333333
changed,20,1,14,2,0,0,34,3,0.7,0.0,2.0,0.0
nn,17,4,0,0,17,4,34,8,0.0,1.0,0.0,1.0
marks,4,1,24,1,6,2,34,4,6.0,1.5,1.0,2.0
dmg,4,1,30,1,0,0,34,2,7.5,0.0,1.0,0.0
min_x,0,0,23,2,10,2,33,4,,,,
total_distance,0,0,33,7,0,0,33,7,,,,
ways,0,0,33,1,0,0,33,1,,,,
PS2,33,1,0,0,0,0,33,1,0.0,0.0,0.0,0.0
time2,2,1,25,5,6,1,33,7,12.5,3.0,5.0,1.0
vowels,3,1,20,7,10,3,33,11,6.666666666666667,3.3333333333333335,7.0,3.0
ref,21,2,0,0,12,1,33,3,0.0,0.5714285714285714,0.0,0.5
row_num,0,0,33,1,0,0,33,1,,,,
min_area,0,0,16,2,16,2,32,4,,,,
ti,18,2,0,0,14,2,32,4,0.0,0.7777777777777778,0.0,1.0
okay,16,2,0,0,16,2,32,4,0.0,1.0,0.0,1.0
