name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
v_root,0,0,17,3,56,9,73,12,,,,
other,12,4,56,1,5,1,73,6,4.666666666666667,0.4166666666666667,0.25,0.25
best_b,0,0,52,3,20,3,72,6,,,,
is_ok,72,1,0,0,0,0,72,1,0.0,0.0,0.0,0.0
br,72,1,0,0,0,0,72,1,0.0,0.0,0.0,0.0
kk,56,1,0,0,16,1,72,2,0.0,0.2857142857142857,0.0,1.0
new_dp,0,0,24,2,48,4,72,6,,,,
nums,43,10,10,4,19,6,72,20,0.23255813953488372,0.4418604651162791,0.4,0.6
min_row,0,0,26,2,45,6,71,8,,,,
current_time,0,0,22,2,49,6,71,8,,,,
arrival,0,0,5,2,66,4,71,6,,,,
bad,26,3,11,2,34,2,71,7,0.4230769230769231,1.3076923076923077,0.6666666666666666,0.6666666666666666
cry,44,1,0,0,27,1,71,2,0.0,0.6136363636363636,0.0,1.0
b_processed,0,0,0,0,70,1,70,1,,,,
expr,0,0,60,3,10,1,70,4,,,,
x_intercept,26,1,0,0,44,1,70,2,0.0,1.6923076923076923,0.0,1.0
mnext,70,1,0,0,0,0,70,1,0.0,0.0,0.0,0.0
n2,38,5,15,2,17,2,70,9,0.39473684210526316,0.4473684210526316,0.4,0.4
houses,37,2,4,1,28,2,69,5,0.10810810810810811,0.7567567567567568,0.5,1.0
best_a,0,0,63,3,6,1,69,4,,,,
x_pos,0,0,44,3,25,1,69,4,,,,
others,0,0,4,2,64,5,68,7,,,,
sideResult,68,1,0,0,0,0,68,1,0.0,0.0,0.0,0.0
positions,12,2,23,4,33,4,68,10,1.9166666666666667,2.75,2.0,2.0
dir,63,3,0,0,5,2,68,5,0.0,0.07936507936507936,0.0,0.6666666666666666
removed,0,0,17,4,51,6,68,10,,,,
side,20,1,4,2,44,3,68,6,0.2,2.2,2.0,3.0
hh,60,1,8,2,0,0,68,3,0.13333333333333333,0.0,2.0,0.0
best_char,32,1,0,0,36,1,68,2,0.0,1.125,0.0,1.0
sign,32,4,4,2,31,6,67,12,0.125,0.96875,0.5,1.5
min_changes,24,1,12,3,31,3,67,7,0.5,1.2916666666666667,3.0,3.0
