fullname,type,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
604D,mean,8.67,18.33,15,29.33,27,44.33,104.12,211.55,6.93,1512.77,84.04,0.07,2.67,29,16.67,0.0,56.61,56.61
604D,std,0.47,2.05,2.94,6.18,2.16,9.1,12.07,48.65,1.18,571.87,31.77,0.02,2.05,8.64,4.03,0.0,3.09,3.09
610D,1,9,28,34,66,37,100,163.14,520.95,10.61,5525.74,306.99,0.1736,20,75,76,0.0,37.26,37.26
610D,mean,9,28,34,66,37,100,163.14,520.95,10.61,5525.74,306.99,0.17,20,75,76,0.0,37.26,37.26
610D,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614A,1,5,10,8,13,15,21,44.83,82.04,3.25,266.65,14.81,0.0273,0,31,13,0.0,61.76,61.76
614A,2,5,5,6,11,10,17,23.22,56.47,5.5,310.6,17.26,0.0188,0,15,10,0.0,65.38,65.38
614A,3,6,8,6,10,14,16,39.51,60.92,3.75,228.44,12.69,0.0203,0,29,14,0.0,61.83,61.83
614A,4,6,11,8,14,17,22,53.56,89.92,3.82,343.35,19.07,0.03,0,43,17,0.0,58.81,58.81
614A,5,5,7,5,9,12,14,31.26,50.19,3.21,161.32,8.96,0.0167,0,19,10,0.0,65.74,65.74
614A,6,5,6,8,16,11,24,27.12,83.03,6.67,553.51,30.75,0.0277,0,41,17,11.76,78.26,78.26
614A,7,5,6,8,16,11,24,27.12,83.03,6.67,553.51,30.75,0.0277,0,21,17,11.76,78.26,78.26
614A,8,6,14,9,18,20,27,68.81,116.69,3.86,450.1,25.01,0.0389,0,12,12,0.0,61.18,61.18
614A,9,4,8,7,13,12,20,32.0,71.7,3.25,233.02,12.95,0.0239,0,15,10,0.0,64.66,64.66
614A,10,6,7,6,11,13,17,35.16,62.91,4.71,296.56,16.48,0.021,0,25,11,9.09,81.25,81.25
614A,11,6,13,8,15,19,23,63.62,97.7,3.46,338.2,18.79,0.0326,6,61,26,0.0,54.26,54.26
614A,12,4,10,8,15,14,23,41.22,87.57,3.0,262.71,14.59,0.0292,0,33,16,0.0,59.33,59.33
614A,13,5,6,5,8,11,13,27.12,44.97,3.33,149.91,8.33,0.015,0,19,10,0.0,66.07,66.07
614A,14,4,8,5,8,12,13,32.0,46.6,2.0,93.21,5.18,0.0155,0,6,7,0.0,69.48,69.48
614A,15,7,12,10,19,19,29,62.67,123.19,5.54,682.68,37.93,0.0411,0,13,11,30.0,88.34,88.34
614A,16,5,7,5,9,12,14,31.26,50.19,3.21,161.32,8.96,0.0167,0,19,10,0.0,65.61,65.61
614A,17,7,9,8,15,16,23,48.18,92.0,5.83,536.67,29.81,0.0307,0,19,10,0.0,63.76,63.76
614A,18,6,8,9,17,14,26,39.51,98.99,6.38,631.07,35.06,0.033,0,35,18,0.0,58.11,58.11
614A,19,5,7,5,9,12,14,31.26,50.19,3.21,161.32,8.96,0.0167,0,21,11,0.0,64.84,64.84
614A,20,6,9,8,15,15,23,44.04,89.86,5.0,449.29,24.96,0.03,0,19,10,0.0,63.83,63.83
614A,21,5,7,5,9,12,14,31.26,50.19,3.21,161.32,8.96,0.0167,0,19,10,0.0,65.74,65.74
614A,22,7,8,7,13,15,20,43.65,78.14,5.69,444.41,24.69,0.026,0,13,13,0.0,61.51,61.51
614A,23,6,10,13,25,16,38,48.73,152.0,7.5,1140.0,63.33,0.0507,0,31,16,0.0,57.65,57.65
614A,24,7,9,7,13,16,20,48.18,80.0,5.06,404.44,22.47,0.0267,0,16,16,0.0,59.6,59.6
614A,25,5,7,5,9,12,14,31.26,50.19,3.21,161.32,8.96,0.0167,0,23,12,0.0,64.01,64.01
614A,26,7,10,8,15,17,23,52.87,94.01,5.25,493.56,27.42,0.0313,0,39,15,6.67,74.49,74.49
614A,27,7,9,8,15,16,23,48.18,92.0,5.83,536.67,29.81,0.0307,0,12,10,0.0,63.76,63.76
614A,28,7,15,10,19,22,29,78.25,129.32,4.43,573.33,31.85,0.0431,0,17,9,0.0,63.73,63.73
614A,mean,5.68,8.79,7.32,13.54,14.46,20.86,42.35,80.86,4.49,384.95,21.39,0.03,0.21,23.79,12.89,2.47,65.76,65.76
614A,std,0.97,2.43,1.89,3.96,3.01,5.84,13.63,26.93,1.39,220.87,12.27,0.01,1.11,11.75,3.88,6.36,7.63,7.63
614B,1,7,18,17,32,25,49,94.71,227.55,6.22,1415.86,78.66,0.0758,0,55,26,3.85,62.98,62.98
614B,2,6,13,9,16,19,25,63.62,106.2,3.69,392.12,21.78,0.0354,0,21,19,0.0,56.84,56.84
614B,3,6,12,8,16,18,24,58.53,100.08,4.0,400.31,22.24,0.0334,0,37,17,5.88,72.56,72.56
614B,4,3,14,10,20,17,30,58.06,122.62,2.14,262.77,14.6,0.0409,0,63,32,0.0,51.47,51.47
614B,5,4,13,9,18,17,27,56.11,110.36,2.77,305.62,16.98,0.0368,0,15,12,36.36,89.36,89.36
614B,mean,5.2,14,10.6,20.4,19.2,31,66.21,133.36,3.76,555.34,30.85,0.04,0,38.2,21.2,9.22,66.64,66.64
614B,std,1.47,2.1,3.26,5.99,2.99,9.23,14.47,47.67,1.39,433.39,24.08,0.02,0.0,18.62,7.03,13.76,13.35,13.35
615A,1,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,0,29,15,0.0,62.34,62.34
615A,2,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,11,11,0.0,72.0,72.0
615A,3,2,4,3,6,6,9,10.0,23.26,1.5,34.9,1.94,0.0078,0,15,8,0.0,69.79,69.79
615A,4,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,23,12,0.0,67.18,67.18
615A,5,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,8,8,0.0,71.43,71.43
615A,6,4,7,5,10,11,15,27.65,51.89,2.86,148.26,8.24,0.0173,0,23,12,0.0,63.78,63.78
615A,7,1,4,2,4,5,6,8.0,13.93,0.5,6.97,0.39,0.0046,0,6,7,0.0,73.02,73.02
615A,8,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,15,8,0.0,71.43,71.43
615A,9,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,23,10,20.0,96.29,96.29
615A,10,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,21,10,11.11,88.07,88.07
615A,11,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,0,23,10,20.0,89.7,89.7
615A,12,3,14,10,20,17,30,58.06,122.62,2.14,262.77,14.6,0.0409,4,61,22,0.0,54.75,54.75
615A,13,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,12,8,100.0,97.2,97.2
615A,14,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,12,8,100.0,100.0,100.0
615A,15,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,23,9,12.5,93.59,93.59
615A,16,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,11,6,0.0,74.15,74.15
615A,17,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,20,16,0.0,64.32,64.32
615A,18,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,13,7,0.0,76.29,76.29
615A,19,5,19,15,29,24,44,92.32,201.74,3.82,769.79,42.77,0.0672,0,79,39,0.0,47.41,47.41
615A,20,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,15,15,0.0,65.34,65.34
615A,21,5,9,7,14,14,21,40.14,79.95,3.89,310.93,17.27,0.0267,0,17,18,0.0,58.49,58.49
615A,22,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,11,12,0.0,71.18,71.18
615A,23,3,6,4,7,9,11,20.26,34.87,1.75,61.02,3.39,0.0116,0,33,17,0.0,61.69,61.69
615A,24,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,0,35,18,0.0,60.61,60.61
615A,25,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,17,10,0.0,69.31,69.31
615A,26,2,5,3,6,7,9,13.61,25.27,1.2,30.32,1.68,0.0084,0,23,12,0.0,65.97,65.97
615A,27,4,6,4,8,10,12,23.51,39.86,2.67,106.3,5.91,0.0133,0,15,8,0.0,68.42,68.42
