name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
middle,26,1,6,2,27,2,59,5,0.23076923076923078,1.0384615384615385,2.0,2.0
min_total,0,0,22,6,37,7,59,13,,,,
fail,26,5,21,2,12,3,59,10,0.8076923076923077,0.46153846153846156,0.4,0.6
nq,31,3,0,0,28,2,59,5,0.0,0.9032258064516129,0.0,0.6666666666666666
component,6,1,0,0,53,6,59,7,0.0,8.833333333333334,0.0,6.0
no,49,7,0,0,10,2,59,9,0.0,0.20408163265306123,0.0,0.2857142857142857
front,0,0,32,7,27,4,59,11,,,,
hostname,15,1,18,2,26,2,59,5,1.2,1.7333333333333334,2.0,2.0
str1,34,6,0,0,24,3,58,9,0.0,0.7058823529411765,0.0,0.5
maxl,29,3,0,0,29,3,58,6,0.0,1.0,0.0,1.0
ans1,42,10,0,0,15,5,57,15,0.0,0.35714285714285715,0.0,0.5
co,43,5,0,0,14,2,57,7,0.0,0.32558139534883723,0.0,0.4
current_i,0,0,42,8,15,2,57,10,,,,
d3,17,2,15,5,25,6,57,13,0.8823529411764706,1.4705882352941178,2.5,3.0
good,36,6,3,1,18,5,57,12,0.08333333333333333,0.5,0.16666666666666666,0.8333333333333334
ra,21,3,19,2,17,2,57,7,0.9047619047619048,0.8095238095238095,0.6666666666666666,0.6666666666666666
px,25,3,4,1,28,5,57,9,0.16,1.12,0.3333333333333333,1.6666666666666667
hit,57,1,0,0,0,0,57,1,0.0,0.0,0.0,0.0
Ans,23,4,0,0,34,2,57,6,0.0,1.4782608695652173,0.0,0.5
ki,9,2,17,4,31,3,57,9,1.8888888888888888,3.4444444444444446,2.0,1.5
nde,28,1,0,0,28,1,56,2,0.0,1.0,0.0,1.0
split,40,6,3,1,13,3,56,10,0.075,0.325,0.16666666666666666,0.5
trans,13,3,0,0,43,3,56,6,0.0,3.3076923076923075,0.0,1.0
c0,29,2,0,0,27,3,56,5,0.0,0.9310344827586207,0.0,1.5
age,0,0,21,2,35,3,56,5,,,,
v2,43,5,6,1,7,2,56,8,0.13953488372093023,0.16279069767441862,0.2,0.4
max,47,8,0,0,9,3,56,11,0.0,0.19148936170212766,0.0,0.375
k2,25,7,12,4,19,5,56,16,0.48,0.76,0.5714285714285714,0.7142857142857143
_k,48,6,0,0,8,1,56,7,0.0,0.16666666666666666,0.0,0.16666666666666666
current_time,0,0,28,5,27,6,55,11,,,,
s0,30,3,4,1,21,2,55,6,0.13333333333333333,0.7,0.3333333333333333,0.6666666666666666
position,5,1,0,0,50,3,55,4,0.0,10.0,0.0,3.0
min_x,3,1,25,4,27,7,55,12,8.333333333333334,9.0,4.0,7.0
max_xor,0,0,33,6,22,3,55,9,,,,
dj,33,4,13,3,9,3,55,10,0.3939393939393939,0.2727272727272727,0.75,0.75
exp,22,4,12,2,21,4,55,10,0.5454545454545454,0.9545454545454546,0.5,1.0
l2,47,5,0,0,8,3,55,8,0.0,0.1702127659574468,0.0,0.6
